,url,domain_appearances,title_contains_domain,link_ratio,has_forms,form_landing,num_images,num_links,num_iframes,num_subdomain_level,has_sensitive_word,num_terms_in_title,max_dom_depth,dom_node_count,status
0,http://seguridad-bancolombia.012.zya.me/?i=1,0,0,0,0,0,0,0,0,2,0,0,4,10,phishing
1,https://new.express.adobe.com/webpage/7Axg1QimDlBdj,1,1,0,0,0,0,0,0,2,0,2,5,41,phishing
2,https://mail-103653.weeblysite.com/,0,0,0,0,0,0,0,0,1,0,0,5,56,phishing
3,https://nuclide.io/,11,1,0.083333333,0,0,3,12,0,0,0,8,10,76,benign
4,https://sky-108197.weeblysite.com/,0,0,0,0,0,0,0,0,1,0,0,5,56,phishing
5,https://pub-fb18fd8aaa2c453dab56d6f0ae35acae.r2.dev/index.html,0,0,0,0,0,0,0,0,2,0,5,6,25,phishing
6,https://new.express.adobe.com/webpage/vUhQoqGZWmlx3,1,1,0,0,0,0,0,0,2,0,2,5,41,phishing
7,https://webde-100799.weeblysite.com/,0,0,0,0,0,0,0,0,1,0,0,5,57,phishing
8,http://newburycafe.co.za/Webmail/51/Webmail/webmail.php,0,0,0,1,0,2,52,0,2,0,2,16,221,phishing
9,https://yahoo-106211.weeblysite.com/,0,0,0,0,0,0,0,0,1,0,3,8,59,phishing
10,https://sentinel-288bb.firebaseapp.com/,0,0,0,0,0,0,0,0,1,0,2,4,24,phishing
11,https://www.skyscanner.com.tr/,1,1,0,0,0,0,0,0,2,0,11,9,105,benign
12,https://docs.google.com/presentation/d/e/2PACX-1vTcRV7VwNdRYyNS-3dSnmxQhChZ_A5vAIibmQM9Mo6Jeip06DJroLnB46D3gic3Tiseg6W-eawSMULT/pub?start=0&amp;loop=0&amp;delayms=3000,1,1,0,0,0,0,0,0,1,0,4,7,47,phishing
13,https://pub-2eb6772d921d4e96972adb8c21a73705.r2.dev/index.html,0,0,0,0,0,0,0,0,2,0,1,4,10,phishing
14,https://docs.google.com/presentation/d/e/2PACX-1vSHq7Z5kIv0pkWJp5dHodBTBBt5xA4bFcBAY8DhjQpf0Gj5cOYhUBK1SzhoMLEp9U8kZikCNNBd2iyq/pub?start=1&amp;loop=1&amp;delayms=60000,1,1,0,0,0,0,0,0,1,0,5,7,46,phishing
15,http://t4fe54tgr.liveblog365.com/,0,0,0,0,0,0,0,0,1,0,0,4,10,phishing
16,https://krasproc.ru/,1,0,0,0,0,0,1,0,0,0,4,9,44,benign
17,https://f0e64646.5b947268055fa71d8a766191.workers.dev/,0,0,0,1,0,1,0,0,2,0,3,8,24,phishing
18,https://new.express.adobe.com/webpage/wQ65cuOm4psb9,1,1,0,0,0,0,0,0,2,0,2,5,41,phishing
19,https://jesper.nu/,0,0,0.510638298,0,0,26,94,4,0,0,3,10,237,benign
20,https://ionos-webmail-104507.weeblysite.com/,0,0,0,0,0,0,0,0,1,0,0,5,56,phishing
21,https://westincp.web.app/,0,0,0,0,0,3,1,0,1,0,0,22,147,phishing
22,https://cloudflare-ipfs.com/ipfs/bafybeib5mhxj34mbgdk7n7ycprppr5fhgkfr7gjbsvegdeylkqubahjujq,0,0,0,0,0,0,0,0,0,0,2,10,50,phishing
23,https://cloudflare-ipfs.com/ipfs/bafybeifqw66rwz74wy4ekiev4howfavdccezr5erd2dnet5bmisezpw3vm/,0,0,0,0,0,1,0,1,0,0,3,6,23,phishing
24,https://ixzlexu.cn/,2,0,0.010695187,1,0,23,187,0,0,0,6,15,413,benign
25,https://docs.google.com/presentation/d/e/2PACX-1vSzIv54mygVHARohqQ-FVC-Ck5EaPeXDPHqEHrcDg7cSYtyfY1SQSs4EMipc6k1ttwkXXH2EA834Ynv/pub?start=0&amp;loop=0&amp;delayms=3000,1,1,0,0,0,0,0,0,1,0,5,7,47,phishing
