,Unnamed: 0,url,domain_appearances,title_contains_domain,link_ratio,has_forms,form_landing,num_images,num_links,num_iframes,num_subdomain_level,has_sensitive_word,num_terms_in_title,max_dom_depth,dom_node_count,status
0,-1,http://seguridad-bancolombia.012.zya.me/?i=1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
1,-1,https://new.express.adobe.com/webpage/7Axg1QimDlBdj,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
2,-1,https://mail-103653.weeblysite.com/,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
3,-1,https://nuclide.io/,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,benign
4,-1,https://sky-108197.weeblysite.com/,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
5,-1,https://pub-fb18fd8aaa2c453dab56d6f0ae35acae.r2.dev/index.html,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,phishing
6,-1,https://new.express.adobe.com/webpage/vUhQoqGZWmlx3,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
7,-1,https://webde-100799.weeblysite.com/,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
8,-1,http://newburycafe.co.za/Webmail/51/Webmail/webmail.php,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,phishing
9,-1,https://yahoo-106211.weeblysite.com/,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
10,-1,https://sentinel-288bb.firebaseapp.com/,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
11,-1,https://www.skyscanner.com.tr/,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,benign
12,-1,https://docs.google.com/presentation/d/e/2PACX-1vTcRV7VwNdRYyNS-3dSnmxQhChZ_A5vAIibmQM9Mo6Jeip06DJroLnB46D3gic3Tiseg6W-eawSMULT/pub?start=0&amp;loop=0&amp;delayms=3000,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
13,-1,https://pub-2eb6772d921d4e96972adb8c21a73705.r2.dev/index.html,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
14,-1,https://docs.google.com/presentation/d/e/2PACX-1vSHq7Z5kIv0pkWJp5dHodBTBBt5xA4bFcBAY8DhjQpf0Gj5cOYhUBK1SzhoMLEp9U8kZikCNNBd2iyq/pub?start=1&amp;loop=1&amp;delayms=60000,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,phishing
15,-1,http://t4fe54tgr.liveblog365.com/,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
16,-1,https://krasproc.ru/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,benign
17,-1,https://f0e64646.5b947268055fa71d8a766191.workers.dev/,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
18,-1,https://new.express.adobe.com/webpage/wQ65cuOm4psb9,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
19,-1,https://jesper.nu/,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,benign
20,-1,https://ionos-webmail-104507.weeblysite.com/,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
21,-1,https://westincp.web.app/,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,phishing
22,-1,https://cloudflare-ipfs.com/ipfs/bafybeib5mhxj34mbgdk7n7ycprppr5fhgkfr7gjbsvegdeylkqubahjujq,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,phishing
23,-1,https://cloudflare-ipfs.com/ipfs/bafybeifqw66rwz74wy4ekiev4howfavdccezr5erd2dnet5bmisezpw3vm/,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,phishing
24,-1,https://ixzlexu.cn/,1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,1,benign
25,-1,https://docs.google.com/presentation/d/e/2PACX-1vSzIv54mygVHARohqQ-FVC-Ck5EaPeXDPHqEHrcDg7cSYtyfY1SQSs4EMipc6k1ttwkXXH2EA834Ynv/pub?start=0&amp;loop=0&amp;delayms=3000,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,phishing
26,-1,https://metasupport1000759136.firebaseapp.com/,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,phishing
27,-1,https://cloudflare-ipfs.com/ipfs/bafybeiaar5k62zbkidveiu5kg6uj2plj2eci3dzzk2o3emg2xjyxydyp6u,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,phishing
28,-1,http://mail.fakeserhelpsreivew-facesonseriengoies-16836.io.vn/,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
29,-1,https://www.sarojhospital.com/css/ii/Post/post/Swiss_Post.Home-page/Seleccione_medio_de_pago.php,1,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,phishing
30,-1,https://htjy2001.com/,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,benign
31,-1,https://federalfinancialrelations.gov.au/,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,benign
32,-1,https://espanso.org/,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,benign
33,-1,https://www.rt201.de/,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,benign
34,-1,https://sz-mj168.com/,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,benign
35,-1,https://iamnotthebabysitter.com/,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,benign
36,-1,https://pub-9536cb32fa0a4eaa996b3cf4e2817c25.r2.dev/blv.html,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,phishing
37,-1,https://xinxiangames.com/,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,benign
38,-1,https://bafybeihfb2o7uzfsls6db6bozoledykna6qymyag36d6ztxxvy3mj5g3km.ipfs.cf-ipfs.com/,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,phishing
39,-1,https://hcamur.ru/,-1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,benign
40,-1,https://eztalks.com/,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,benign
41,-1,https://bafybeibdmimzwjbtoe4ks377uo7rudyeq3g3jgqo4yxlhcvgttcm5figdu.ipfs.cf-ipfs.com/,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,phishing
42,-1,https://docs.google.com/presentation/d/e/2PACX-1vRvMFhl-w-MXSNqGx6WUc2HsnnJVmpjrv9NLydFmm3s8rdhsOfEVY-Pdy5Nd9Z46lDCRJqy1ZyrMVv_/pub?start=1&amp;loop=0&amp;delayms=1000,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
43,-1,https://ipfs.eth.aragon.network/ipfs/bafybeigsdpinf5msqrbfmxicfeeernufezp6nk3ake4yesng7pm2z3ivuy/,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,phishing
44,-1,https://pub-f3922f20d4c74ba1869fd3db906e3295.r2.dev/glogin.html,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,phishing
45,-1,https://paydayloanskentucky.net/,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,benign
46,-1,https://ichi-oshi-store.com/,-1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,benign
47,-1,https://asf.be/,1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,benign
48,-1,https://reformjudaism.org/,1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,benign
49,-1,https://bredagroup-amsterdam.com/,1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,benign
50,-1,https://pirvnota.com/,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,benign
51,-1,https://setjkfgspgw18.weebly.com/,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,phishing
52,-1,https://www.solarisgroup.com/en/,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,1,benign
53,-1,https://beachcheck.com/,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,benign
54,-1,https://sidneyrezende.com/,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,benign
55,-1,https://www.belleville.ca/en/index.aspx,1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,benign
56,-1,https://fireworks.us/,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1,benign
57,-1,https://aol-mail-101873.weeblysite.com/,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
58,-1,https://www.chocolatygirls.com/,-1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,1,benign
59,-1,https://pub-1a3a14c1e48e4021816d1d96578a9031.r2.dev/login.htm,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,phishing
60,-1,https://att-login560.weeblysite.com/,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,phishing
61,-1,https://customer-notice-f8362.web.app/,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,phishing
62,-1,https://dreipage.de/,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,benign
63,-1,https://www.mederma.com/,1,1,1,-1,-1,1,1,-1,1,-1,1,1,1,benign
64,-1,https://www.publicissapient.fr/,-1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,benign
65,-1,https://supremebikes.ph/,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,benign
66,-1,https://uspo.usspwo.top/pg?do=index,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,phishing
67,-1,https://hty1iiu.firebaseapp.com/,-1,-1,-1,1,-1,1,1,1,1,-1,-1,1,1,phishing
68,-1,https://lucky-skull.com/,-1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,benign
69,-1,https://jianyue2018.com/,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,benign
70,-1,https://checkra.in/,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,benign
