url,status
https://tobaccochina.com/,benign
https://bottcher.io/,benign
https://docs.google.com/presentation/d/e/2PACX-1vTz_wLtQaHHdeyH0-IIwzMOkdA7PKuiDKhK7PH1J4AFQGyVJLwkJTS1Hp0dNwgYC_Nk0lt6Asg1BM-Z/pub?start=false&amp;loop=false&amp;delayms=3000,phishing
https://johngrenham.com/,benign
https://docs.google.com/presentation/d/e/2PACX-1vSRPzbO3rM8p830rWb1Tr3sBUJoebAt3CW4WbLZ9bAj0i1JgHLPpwI4OTBxSGBlBkcArWY4TgZWIuHu/pub?start=false&loop=false&delayms=3000#slide=id.p,phishing
https://bayatee.com/,benign
https://www.phallus.is/,benign
https://haag-streit.com/en,benign
https://cloudflare-ipfs.com/ipfs/bafybeihox2fy2wit33cvzvxal3xw7nw7lnyr3s4dnffzlvqjyxpobisnxm/,phishing
https://shubao277.com/,benign
https://post-item239430.com/post-officegb.post-item239430.com/,phishing
https://www.evernightpublishing.com/,benign
https://ease.pages.dev/,phishing
https://www.trade.gov/,benign
https://bafybeigfioslvzrrf7lfshbyv7swjknm6nb4esbqrxl7m27qkfr4oqzque.ipfs.cf-ipfs.com/,phishing
https://new.express.adobe.com/webpage/wnCEbXStDPlca,phishing
https://wfalerts-srp.web.app/,phishing
https://www.nishiizu-kankou.com/,benign
https://www.fairmont-san-francisco.com/,benign
https://docs.google.com/presentation/d/e/2PACX-1vSUHTUFJlqfndTguepuYzBwaO3oHJ5qWdTmZfTcQyfq4lbxtFezaqrbgaUBMwBt2eg6S5pxQ-Zs9QUm/pub?start=true&amp;loop=true&amp;delayms=3000&amp;slide=id.p,phishing
https://www.chalmers.se/,benign
https://strattera.sale/,benign
https://pub-186c485a879545e98bdb89baeb285d07.r2.dev/index.html,phishing
https://tgadminuser.teleg.men/,phishing
https://feimaovip88.com/,benign
https://bafybeigine6ebw5yfp7pbnrohetydsbognk5ukfn7oq4sgfc7j6bed6rmi.ipfs.cf-ipfs.com/,phishing
https://www.posusa.com/,benign
https://www.dejobaan.com/,benign
https://pornailist.com/,benign
https://www.alphenaandenrijn.nl/,benign
http://www.im-creator.com/free/attmaisld/attmailsd,phishing
http://ww25.ypdtc.com/?subid1=20240323-0522-5529-8ce6-ea605f1f834e,phishing
https://www.bikeland.org/,benign
https://cloudflare-ipfs.com/ipfs/bafybeicvhqhlfxjn4zpv3tjrytjdmujpvl64rv3qufhx77lnkqcs6f2haa/sms.html,phishing
https://incise.in/,benign
https://logochamp.co.uk/cgi-sys/suspendedpage.cgi,phishing
https://bangjuyiliao.com/,benign
https://webd.pl/,phishing
https://diomass.org/,benign
https://bafybeiekxc3fxfy4fygg67gciztso2psf6vbmzb2twunci2nmp6iqf4duy.ipfs.cf-ipfs.com/gloglo.html,phishing
https://vnayicu.cn/,benign
https://wmm5928.top/,benign
https://reagan-100450.weeblysite.com/,phishing
https://pub-5079b5acdf2a4092ad1b3562b2636b1e.r2.dev/Docs.html,phishing
https://qsnetwork.az1.qualtrics.com/jfe/form/SV_0JNG0S8h2RaBelg?Q_JFE=qdg&Root=list&ID=2600&Y=2023,phishing
https://undress.vip/,benign
http://novadax.com.br.atlaq.com/,phishing
https://upkeep.com/,benign
https://kaywa.me/lYO53?case=yegv4r2,phishing
https://feedingtuberecords.com/,benign
https://bafybeifjtcpttiviec2ddwksm45hfvy6wrma5mihbiodlkabbplykajz7i.ipfs.cf-ipfs.com/,phishing
https://www.kfki.hu/,benign
https://www.lasercomponents.com/us/,benign
https://ralph-lauren-uk.co.uk/,benign
https://prsildenaflsult.com/,benign
https://en-alldappfix.pages.dev/,phishing
https://o-trim.co/waJrQz,phishing
https://docs.google.com/presentation/d/e/2PACX-1vTbQCvAOj6SN5ObfOJ0vAYaVko4JtzM35oDp0WoU9DXivGyPmJmo3CXDh5c5aKh0oQ3dGTA1M9H-RGc/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,phishing
http://hello-world-round-glade-fe8f.storageses.workers.dev/,phishing
https://sieuthivienthong.com/,benign
https://attxdr.weebly.com/,phishing
https://pub-9536cb32fa0a4eaa996b3cf4e2817c25.r2.dev/blv.html,phishing
https://docs.google.com/presentation/d/e/2PACX-1vTTS_x9FyvMKe2ZI5nYgcvfiOWiUcnr0H17zqzDRRvUjXKA_NmfWhQ7wIekJtETzvGf4l-QpazHcAyq/pub?start=false&amp;loop=false&amp;delayms=3000,phishing
https://www.mgarsky-monastery.org/,benign
https://bestofmachinery.com/,benign
https://e-posti.firebaseapp.com/,phishing
https://example223.wixsite.com/my-site,phishing
https://lloydsfarmacia.it/,benign
https://t.me/Idmerzlts_bot,phishing
https://barelivsstil.no/,benign
https://zikooooo2-7ae2d.firebaseapp.com/,phishing
https://urhebcq.com/,phishing
https://www.maerklin.de/de,benign
https://yzgtjc.com/,benign
https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fstorage.cloud.google.com%2F1lordman1man3%2Foscman.html&followup=https%3A%2F%2Fstorage.cloud.google.com%2F1lordman1man3%2Foscman.html&ifkv=ARZ0qKJhFrACFPXDfJ366S0x5cnH3GNOXJnjcU9uIJKlfWQViczV4ie-dzXJSQYDZi75vbSxiic5fg&passive=1209600&service=cds&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S1057808658%3A1711131884890390&theme=mn&ddm=0,phishing
https://heufbi.pages.dev/,phishing
https://sabisejergaerrsetanspesaiue2.pages.dev/,phishing
https://u8guoji6.net:9900/web/simple.php#/aioDownload,benign
https://dev-sfmnebverify.pantheonsite.io/?email=example%40example.example,phishing
https://www.podcastfrancaisfacile.com/,benign
https://eczine.jp/,benign
https://docs.google.com/presentation/d/e/2PACX-1vS_lFquXZegouphsIxjj0ZwtwVmt4iB9e5f9Kw-qAspVBVaU7_uEjeN1DhHJgnXQ9aarBndHdo1zVzc/pub?start=false&amp;loop=false&amp;delayms=3000,phishing
https://tonybai.com/,benign
https://adviserscam.com/,benign
https://hypotheekvisie.nl/,benign
https://new.express.adobe.com/webpage/crWgHOunqwSD3,phishing
https://bafybeidiifxyqtgvszrx2pvf676446isxnmr5mlbf3hgbn75aqxlevxfwu.ipfs.cf-ipfs.com/new-order.htm,phishing
https://hargaplafonpvc.com/,benign
https://yxu.pages.dev/,phishing
https://zhaopinqingfeng.com/,benign
https://lsm99.review/,benign
https://baldwincountyal.gov/,benign
https://iganbai.com/,benign
https://new.express.adobe.com/webpage/LCj4ZJ0aWHRlT,phishing
https://market27.weebly.com/,phishing
https://cloudflare-ipfs.com/ipfs/bafybeifngmktnkzs5uatjqyzkth5zsrbur2skdju5hpcvjvzyrmhrgxmeq/,phishing
